Program,Discipline,SUBJ,CRSE_NUMB,CRS ID,CRS TITLE,CSLO
Building Codes Inspector,Building Codes Inspector,BCI,C100,BCI C100,Introduction Int'l Bldg Code,"Communicate, analyze and apply international/residential building code requirements to ensure compliance with all current code standards and parameters."
Building Codes Inspector,Building Codes Inspector,BCI,C101,BCI C101,Res/Const Blueprint Reading,"Communicate, analyze, and apply blueprints to residential building code structural requirements to ensure compliance with all current code standards and parameters."
Building Codes Inspector,Building Codes Inspector,BCI,C102,BCI C102,California Administrative Code,"Communicate, analyze, calculate, and apply State of California energy and accessibility code compliance regulations with all current code standards and parameters."
Building Codes Inspector,Building Codes Inspector,BCI,C103,BCI C103,Non-Struct Prov of Bldg Code,"Communicate, analyze, and apply residential building code requirements to ensure compliance with all current code for non-structural provisions."
Building Codes Inspector,Building Codes Inspector,BCI,C104,BCI C104,Concrete Code,"Inspect, test, analyze, and report on concrete infrastructure (e.g., highways, bridges, dams, and sewer systems) to ensure compliance with local and federal building code and ordinance regulations."
Building Codes Inspector,Building Codes Inspector,BCI,C105,BCI C105,Framing Reqs Bldg Code,"Inspect, test, analyze, and report on framing requirements (e.g., steel, wood, interior, and exterior) to ensure compliance with local and federal building code and ordinance regulations."
Building Codes Inspector,Building Codes Inspector,BCI,C106,BCI C106,Electrical Code,"Inspect, test, analyze, and report on electrical code requirements (e.g., mathematical, wiring, alternating current theory, and calculations) to ensure compliance with local and federal building code and ordinance regulations."
Building Codes Inspector,Building Codes Inspector,BCI,C107,BCI C107,Mechanical Code,"Inspect, test, analyze, and report on mechanical installations to ensure compliance with local and federal building code and ordinance regulations."
Building Codes Inspector,Building Codes Inspector,BCI,C108,BCI C108,Plumbing Code,"Inspect, test, analyze, and report on plumbing installations to ensure compliance with local and federal building code and ordinance regulations."
Building Codes Inspector,Building Codes Inspector,BCI,C111,BCI C111,International Residential Code,"Identify the general requirements regulating wiring methods, wall construction and wall covering, ceiling construction and roof construction, installation of mechanical appliances, requirements for the installation of plumbing systems and installation of "
Communication Studies,Communication Studies,COMM,C110,COMM C110,Introduction Public Speaking,"Given the demographics of a particular audience, create an outline and deliver an informative presentation that reflects extemporaneous public address.   Given the demographics of a particular audience, create an outline and deliver a persuasive presentat"
Communication Studies,Digital Media Communication,DMC,C100,DMC C100,Intro to Mass Communication,"Analyze the role and impact of mass communication on societal and cultural communication practices.   Critically evaluate content on media platforms in terms of message, bias, ethics, and effect.   Establish how media literacy and communication skills pro"
Communication Studies,Digital Media Communication,DMC,C150,DMC C150,Intro to Public Relations,"Articulate significance of public relations in organizational communication.   Develop press releases, media kits, and other PR materials tailored to specific audiences.   Demonstrate effective communication strategies in crisis situations.   Create and i"
