ProgramID,Program,Course
CA_ETC,"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",EDUC C202
CA_ETC,"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",EDUC C211
CA_ETC,"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",EDUC C103
CA_ETC,"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",EDUC C101
CA_ETC,"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",PSYC C118
CA_ETC,"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",ENGL C100
CA_ETC,"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",CMST C110
CA_ETC,"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",CMST C100
CA_ETC,"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",EDUC C104
CA_ACG,"Accounting: General Accounting, Certificate of Achievement",ACCT C100
CA_ACG,"Accounting: General Accounting, Certificate of Achievement",ACCT C101
CA_ACG,"Accounting: General Accounting, Certificate of Achievement",ACCT C102
CA_ACG,"Accounting: General Accounting, Certificate of Achievement",ACCT C106
CA_ACG,"Accounting: General Accounting, Certificate of Achievement",ACCT C107
CA_ACG,"Accounting: General Accounting, Certificate of Achievement",ACCT C112
CA_ACG,"Accounting: General Accounting, Certificate of Achievement",ACCT C103
CA_ACG,"Accounting: General Accounting, Certificate of Achievement",ACCT C283
CA_ACG,"Accounting: General Accounting, Certificate of Achievement",ACCT C284
CA_ACG,"Accounting: General Accounting, Certificate of Achievement",BUS C100
CA_ACG,"Accounting: General Accounting, Certificate of Achievement",BUS C120
CA_ACG,"Accounting: General Accounting, Certificate of Achievement",ENGL C103
CA_GBL,"Global Business, Certificate of Achievement",BUS C118
CA_GBL,"Global Business, Certificate of Achievement",MS C100
CA_GBL,"Global Business, Certificate of Achievement",MS C171
CA_GBL,"Global Business, Certificate of Achievement",SM C101
CA_GBL,"Global Business, Certificate of Achievement",MS C172
CA_GBL,"Global Business, Certificate of Achievement",SM C102
CA_GBL,"Global Business, Certificate of Achievement",BUS C100
CA_GBL,"Global Business, Certificate of Achievement",ENGL C136
CA_GBL,"Global Business, Certificate of Achievement",BUS C281
CA_GBL,"Global Business, Certificate of Achievement",BUS C282
CA_GBL,"Global Business, Certificate of Achievement",BUS C283
CA_GBL,"Global Business, Certificate of Achievement",BUS C284
CA_HCM,"Health Care Management, Certificate of Achievement",HLTH C121
CA_HCM,"Health Care Management, Certificate of Achievement",MGMT C161
CA_HCM,"Health Care Management, Certificate of Achievement",LAW C126
CA_HCM,"Health Care Management, Certificate of Achievement",MS C100
CA_HCM,"Health Care Management, Certificate of Achievement",MGMT C100
