Program,PSLO ID,PSLO,Course
"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education PSLO 2: Upon successful completion of certificate courses students will be able to document knowledge and sk",EDUC C202
"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education PSLO 2: Upon successful completion of certificate courses students will be able to document knowledge and sk",EDUC C211
"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education PSLO 2: Upon successful completion of certificate courses students will be able to document knowledge and sk",EDUC C103
"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education PSLO 2: Upon successful completion of certificate courses students will be able to document knowledge and sk",EDUC C101
"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education PSLO 2: Upon successful completion of certificate courses students will be able to document knowledge and sk",PSYC C118
"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education PSLO 2: Upon successful completion of certificate courses students will be able to document knowledge and sk",ENGL C100
"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education PSLO 2: Upon successful completion of certificate courses students will be able to document knowledge and sk",CMST C110
"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education PSLO 2: Upon successful completion of certificate courses students will be able to document knowledge and sk",CMST C100
"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education PSLO 2: Upon successful completion of certificate courses students will be able to document knowledge and sk",EDUC C104
"Accounting: General Accounting, Certificate of Achievement",PSLO 1,"Accumulate, record, and interpret financial data. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and information-based approach. PSLO 3: Demonstrate proficiency in the use of computerized accou",ACCT C100
"Accounting: General Accounting, Certificate of Achievement",PSLO 1,"Accumulate, record, and interpret financial data. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and information-based approach. PSLO 3: Demonstrate proficiency in the use of computerized accou",ACCT C101
"Accounting: General Accounting, Certificate of Achievement",PSLO 1,"Accumulate, record, and interpret financial data. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and information-based approach. PSLO 3: Demonstrate proficiency in the use of computerized accou",ACCT C102
"Accounting: General Accounting, Certificate of Achievement",PSLO 1,"Accumulate, record, and interpret financial data. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and information-based approach. PSLO 3: Demonstrate proficiency in the use of computerized accou",ACCT C106
"Accounting: General Accounting, Certificate of Achievement",PSLO 1,"Accumulate, record, and interpret financial data. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and information-based approach. PSLO 3: Demonstrate proficiency in the use of computerized accou",ACCT C107
"Accounting: General Accounting, Certificate of Achievement",PSLO 1,"Accumulate, record, and interpret financial data. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and information-based approach. PSLO 3: Demonstrate proficiency in the use of computerized accou",ACCT C112
"Accounting: General Accounting, Certificate of Achievement",PSLO 1,"Accumulate, record, and interpret financial data. PSLO 2: Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and information-based approach. PSLO 3: Demonstrate proficiency in the use of computerized accou",ACCT C103
