Program Code,Program,seq,PSLOID,Program Outcome
AS_ACC,"Accounting: Bookkeeping, Associate of Science Degree",1,AS_ACC_PSLO1,"Accumulate, record, and interpret financial data."
AS_ACC,"Accounting: Bookkeeping, Associate of Science Degree",2,AS_ACC_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and information-based approach."
AS_ACC,"Accounting: Bookkeeping, Associate of Science Degree",3,AS_ACC_PSLO3,Demonstrate proficiency in the use of computerized accounting software.
AS_ACC,"Accounting: Bookkeeping, Associate of Science Degree",4,AS_ACC_PSLO4,Demonstrate understanding of accounting and business terminology.
AS_ACC,"Accounting: Bookkeeping, Associate of Science Degree",5,AS_ACC_PSLO5,Prepare accurate reports for decision making and regulatory compliance.
CA_ACC,"Accounting: Bookkeeping, Certificate of Achievement",1,CA_ACC_PSLO1,"Accumulate, record, and interpret financial data."
CA_ACC,"Accounting: Bookkeeping, Certificate of Achievement",2,CA_ACC_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and information-based approach."
CA_ACC,"Accounting: Bookkeeping, Certificate of Achievement",3,CA_ACC_PSLO3,Demonstrate proficiency in the use of computerized accounting software.
CA_ACC,"Accounting: Bookkeeping, Certificate of Achievement",4,CA_ACC_PSLO4,Demonstrate understanding of accounting and business terminology.
CA_ACC,"Accounting: Bookkeeping, Certificate of Achievement",5,CA_ACC_PSLO5,Prepare accurate reports for decision making and regulatory compliance.
AS_ACG,"Accounting: General Accounting, Associate of Science Degree",1,AS_ACG_PSLO1,"Accumulate, record, and interpret financial data."
AS_ACG,"Accounting: General Accounting, Associate of Science Degree",2,AS_ACG_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and information-based approach."
AS_ACG,"Accounting: General Accounting, Associate of Science Degree",3,AS_ACG_PSLO3,Demonstrate proficiency in the use of computerized accounting software.
AS_ACG,"Accounting: General Accounting, Associate of Science Degree",4,AS_ACG_PSLO4,Demonstrate understanding of accounting and business terminology.
AS_ACG,"Accounting: General Accounting, Associate of Science Degree",5,AS_ACG_PSLO5,Prepare accurate reports for decision making and regulatory compliance.
CA_ACG,"Accounting: General Accounting, Certificate of Achievement",1,CA_ACG_PSLO1,"Accumulate, record, and interpret financial data."
CA_ACG,"Accounting: General Accounting, Certificate of Achievement",2,CA_ACG_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and information-based approach."
CA_ACG,"Accounting: General Accounting, Certificate of Achievement",3,CA_ACG_PSLO3,Demonstrate proficiency in the use of computerized accounting software.
CA_ACG,"Accounting: General Accounting, Certificate of Achievement",4,CA_ACG_PSLO4,Demonstrate understanding of accounting and business terminology.
CA_ACG,"Accounting: General Accounting, Certificate of Achievement",5,CA_ACG_PSLO5,Prepare accurate reports for decision making and regulatory compliance.
AS_ACT,"Accounting: Taxation, Associate of Science Degree",1,AS_ACT_PSLO1,"Accumulate, record, and interpret financial data."
AS_ACT,"Accounting: Taxation, Associate of Science Degree",2,AS_ACT_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and information-based approach."
AS_ACT,"Accounting: Taxation, Associate of Science Degree",3,AS_ACT_PSLO3,Demonstrate proficiency in the use of computerized accounting software.
AS_ACT,"Accounting: Taxation, Associate of Science Degree",4,AS_ACT_PSLO4,Demonstrate understanding of accounting and business terminology.
AS_ACT,"Accounting: Taxation, Associate of Science Degree",5,AS_ACT_PSLO5,Prepare accurate reports for decision making and regulatory compliance.
CA_ACT,"Accounting: Taxation, Certificate of Achievement",1,CA_ACT_PSLO1,"Accumulate, record, and interpret financial data."
CA_ACT,"Accounting: Taxation, Certificate of Achievement",2,CA_ACT_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and information-based approach."
CA_ACT,"Accounting: Taxation, Certificate of Achievement",3,CA_ACT_PSLO3,Demonstrate proficiency in the use of computerized accounting software.
CA_ACT,"Accounting: Taxation, Certificate of Achievement",4,CA_ACT_PSLO4,Demonstrate understanding of accounting and business terminology.
CA_ACT,"Accounting: Taxation, Certificate of Achievement",5,CA_ACT_PSLO5,Prepare accurate reports for decision making and regulatory compliance.
CS_IAC,"Advanced Accounting, Certificate of Specialization",1,CS_IAC_PSLO1,"Accumulate, record, and interpret financial data."
CS_IAC,"Advanced Accounting, Certificate of Specialization",2,CS_IAC_PSLO2,Prepare accurate reports for decision making and regulatory compliance.
CS_IAC,"Advanced Accounting, Certificate of Specialization",3,CS_IAC_PSLO3,Demonstrate understanding of accounting and business terminology.
CS_IAC,"Advanced Accounting, Certificate of Specialization",4,CS_IAC_PSLO4,Demonstrate proficiency in the use of computerized accounting software.
AA_AGS,"Aging Studies, Associate of Arts Degree",1,AA_AGS_PSLO1,Apply major gerontology theories and principles of the field to everyday life and determine the impact of these theories on the aging individual and/or society as a whole.
AA_AGS,"Aging Studies, Associate of Arts Degree",2,AA_AGS_PSLO2,Apply effective communication skills in a variety of gerontology settings.
