
CRN,Student ID,Enrollment Status,Enrollment Date
10001,C00001001,enrolled,2024-08-20
10001,C00001002,enrolled,2024-08-20
10001,C00001003,enrolled,2024-08-21
10001,C00001004,enrolled,2024-08-21
10001,C00001005,enrolled,2024-08-22
10002,C00001006,enrolled,2024-08-20
10002,C00001007,enrolled,2024-08-21
10002,C00001008,enrolled,2024-08-21
10002,C00001009,enrolled,2024-08-22
10002,C00001010,enrolled,2024-08-22
10006,C00001001,enrolled,2024-08-20
10006,C00001002,enrolled,2024-08-20
10006,C00001003,enrolled,2024-08-21
10006,C00001006,enrolled,2024-08-20
10006,C00001007,enrolled,2024-08-21
10010,C00001001,enrolled,2024-08-20
10010,C00001002,enrolled,2024-08-20
10010,C00001003,enrolled,2024-08-21
10010,C00001004,enrolled,2024-08-21
10010,C00001005,enrolled,2024-08-22
10011,C00001011,enrolled,2024-08-20
10011,C00001012,enrolled,2024-08-21
10011,C00001013,enrolled,2024-08-21
10011,C00001014,enrolled,2024-08-22
10011,C00001015,enrolled,2024-08-22
10015,C00001016,enrolled,2024-08-20
10015,C00001017,enrolled,2024-08-21
10015,C00001018,enrolled,2024-08-21
10015,C00001019,enrolled,2024-08-22
10015,C00001020,enrolled,2024-08-22
10017,C00001016,enrolled,2024-08-20
10017,C00001017,enrolled,2024-08-21
10017,C00001018,enrolled,2024-08-21
10019,C00001021,enrolled,2024-08-20
10019,C00001022,enrolled,2024-08-20
10019,C00001023,enrolled,2024-08-21
10019,C00001024,enrolled,2024-08-21
10020,C00001021,enrolled,2024-08-20
10020,C00001022,enrolled,2024-08-20
10020,C00001023,enrolled,2024-08-21
10027,C00001025,enrolled,2024-08-20
10027,C00001026,enrolled,2024-08-20
10027,C00001027,enrolled,2024-08-21
10027,C00001028,enrolled,2024-08-21
10027,C00001029,enrolled,2024-08-22
10027,C00001030,enrolled,2024-08-22
10028,C00001031,enrolled,2024-08-20
10028,C00001032,enrolled,2024-08-20
10028,C00001033,enrolled,2024-08-21
10028,C00001034,enrolled,2024-08-21
10029,C00001025,enrolled,2024-08-20
10029,C00001026,enrolled,2024-08-20
10029,C00001027,enrolled,2024-08-21
10003,C00001001,completed,2024-08-20
10003,C00001002,completed,2024-08-20
10003,C00001003,dropped,2024-08-21
10004,C00001001,enrolled,2024-08-20
10004,C00001002,enrolled,2024-08-20
10008,C00001006,enrolled,2024-08-20
10008,C00001007,enrolled,2024-08-21
10008,C00001008,enrolled,2024-08-21
